"id";"music";"countplay";"followers";"streams";"popularity";"dance";"energy";"loudness";"speechiness";"acousticness";"liveness";"time";"durationms";"valence"
"1151";"In Your Eyes (with Doja Cat) - Remix";1;35340069;6511008;67;0.679;0.731;-5.522;0.0319;0.00518;0.0614;99.984;237912;0.727
"1152";"WUNNA";1;3337982;6384306;60;0.89;0.455;-9;0.255;0.0217;0.11;148.009;158240;0.313
"1153";"Komm Komm";1;4093115;5552890;53;0.485;0.793;-3.836;0.426;0.251;0.146;87.629;160667;0.371
"1154";"TOP FLOOR (feat. Travis Scott)";1;3337982;5193309;63;0.823;0.504;-8.65;0.16;0.206;0.417;112.985;169907;0.481
"1155";"Goodbyes (Feat. Young Thug)";22;33663701;5134161;78;0.548;0.653;-3.875;0.081;0.456;0.103;150.068;174853;0.163
"1156";"CANCIÓN CON YANDEL";3;36177712;5132247;76;0.75;0.741;-4.43;0.402;0.447;0.121;79.968;209180;0.495
"1157";"X (with KAROL G)";2;5436999;5018592;70;0.715;0.827;-5.09;0.0617;0.0485;0.321;117.977;185277;0.75
"1158";"MÁS DE UNA CITA";3;36177712;4987116;67;0.865;0.5;-10.805;0.0861;0.0122;0.098;92.976;183520;0.317
"1159";"Together";1;20528724;4861870;71;0.521;0.877;-5.444;0.0683;0.0132;0.0929;180.007;205208;0.199
"1160";"eight(Prod.&Feat. SUGA of BTS)";4;4939593;4764954;75;0.676;0.869;-1.573;0.0423;0.115;0.132;120.029;167573;0.594
"1161";"You should be sad";20;15663384;4761908;76;0.591;0.585;-6.35;0.0277;0.143;0.109;110.94;205473;0.324
"1162";"CITY OF ANGELS";14;1276406;4645541;76;0.686;0.541;-4.993;0.0493;0.042;0.0675;120.082;112493;0.724
"1163";"Astronomia";8;378114;4642284;71;0.653;0.945;-2.634;0.096;0.00561;0.439;126.093;198095;0.326
"1164";"After Hours";15;35340069;4559855;75;0.664;0.572;-6.099;0.0305;0.0811;0.121;108.959;361027;0.143
"1165";"BUTTERFLY EFFECT";5;17732077;4537762;79;0.763;0.628;-5.85;0.05;0.0531;0.114;140.958;190557;0.193
"1166";"Never Seen the Rain";22;1251372;4473968;0;0.742;0.464;-5.624;0.0318;0.425;0.284;92.107;200742;0.281
"1167";"Sigues Con El - Remix";7;6671084;4440738;69;0.747;0.693;-2.97;0.298;0.102;0.0872;175.994;189567;0.736
"1168";"ANGELS & DEMONS";1;799682;4435538;72;0.554;0.8;-3.936;0.0395;0.119;0.629;115.056;160120;0.463
"1169";"Confía";1;8766508;4419295;62;0.722;0.757;-3.592;0.0782;0.17;0.0657;167.987;202308;0.763
"1170";"Muévelo";20;14831925;4407165;72;0.594;0.808;-2.409;0.0489;0.415;0.565;188.09;194892;0.919
"1171";"All Bad (feat. Lil Uzi Vert)";1;10491105;6194224;60;0.931;0.667;-7.043;0.318;0.0144;0.15;142.039;207739;0.667
"1172";"Pain 1993 (with Playboi Carti)";3;56327031;6085143;67;0.825;0.373;-5.532;0.108;0.163;0.368;77.271;149078;0.12
"1173";"Trillionaire (feat. Youngboy Never Broke Again)";1;10491105;6057848;61;0.768;0.526;-7.182;0.209;0.237;0.139;139.999;167552;0.473
"1174";"Go Stupid";1;4849204;5464816;74;0.92;0.833;-3.18;0.253;0.0277;0.0596;141.034;165726;0.645
"1175";"A Gente Fez Amor - Ao Vivo";10;12981319;5006457;66;0.794;0.937;-2.44;0.0336;0.366;0.962;134.012;237517;0.826
"1176";"Racks 2 Skinny";1;11692972;4729629;61;0.814;0.584;-5.425;0.0819;0.00839;0.0646;141.016;178025;0.405
"1177";"Be Something (feat. Lil Baby)";1;4849204;4687909;69;0.829;0.52;-10.34;0.294;0.0232;0.134;136.103;194118;0.248
"1178";"BENDICIONES";2;36177712;4639997;67;0.828;0.581;-9.909;0.0725;0.0378;0.103;143.995;155060;0.843
"1179";"PTSD";9;1253138;4500903;76;0.883;0.808;-3.158;0.182;0.0313;0.207;119.01;232065;0.806
"1180";"Excitement";1;6434201;4416484;69;0.443;0.536;-8.187;0.0378;0.0194;0.1;121.967;283285;0.0391
"1181";"Can We Kiss Forever?";21;661863;4397385;78;0.522;0.128;-18.717;0.0357;0.894;0.0941;109.986;187932;0.124
"1182";"SI ELLA SALE";1;36177712;7055918;63;0.869;0.727;-7.397;0.123;0.0589;0.107;147.967;143240;0.92
"1183";"RONCA FREESTYLE";1;36177712;5784075;64;0.856;0.656;-6.483;0.131;0.165;0.0998;90.041;150060;0.586
"1184";"Zoo York (feat. Fivio Foreign & Pop Smoke)";1;3559267;5368705;70;0.565;0.569;-6.084;0.379;0.0352;0.106;92.466;214825;0.303
"1185";"EN CASITA";1;36177712;5364262;62;0.779;0.764;-8.217;0.0938;0.221;0.0909;158.093;176440;0.675
"1186";"Qué Maldición";2;12140496;4971559;69;0.755;0.531;-8.051;0.196;0.213;0.13;177.951;203360;0.683
"1187";"Nicht verdient";2;4093115;4912914;58;0.719;0.65;-7.274;0.232;0.381;0.167;77.981;176953;0.488
"1188";"A Tu Merced";11;36177712;4909499;82;0.86;0.791;-4.784;0.0568;0.169;0.106;92.023;175918;0.887
"1189";"Demons (feat. Fivio Foreign & Sosa Geek)";2;56327031;4766829;63;0.543;0.766;-3.387;0.343;0.423;0.155;106.869;204805;0.729
"1190";"Moral of the Story";12;644479;4609358;75;0.572;0.406;-8.624;0.0427;0.587;0.102;119.812;201084;0.265
"1191";"Can I";1;4894562;4603243;68;0.574;0.791;-3.752;0.11;0.419;0.0982;119.537;167810;0.612
"1192";"STARGAZING";3;17732077;4499820;76;0.487;0.789;-3.69;0.044;0.00947;0.189;150.007;270715;0.0564
"1193";"Eastside (with Halsey & Khalid)";20;804613;4397708;77;0.56;0.68;-7.648;0.321;0.555;0.116;89.391;173800;0.319
"1194";"Suicidal";20;6332535;4320116;76;0.655;0.441;-5.245;0.0629;0.474;0.099;139.957;225857;0.273
"1195";"How Do You Sleep?";20;17097317;4313625;76;0.477;0.682;-4.931;0.0925;0.153;0.0763;110.567;202205;0.345
"1196";"No Time To Die";13;47061119;4293009;75;0.38;0.219;-13.273;0.0358;0.917;0.0827;73.537;242265;0.0517
"1197";"D4L";1;56327031;10537097;63;0.718;0.706;-5.709;0.06;0.0128;0.352;170.004;189176;0.815
"1198";"Time Flies";1;56327031;9904749;71;0.864;0.477;-5.786;0.224;0.201;0.182;86.46;192932;0.5
"1199";"Desires (with Future)";1;56327031;9628215;64;0.812;0.506;-7.706;0.116;0.281;0.325;145.074;237946;0.554
"1200";"Not You Too (feat. Chris Brown)";1;56327031;9284383;64;0.458;0.452;-9.299;0.047;0.342;0.0703;86.318;269680;0.316
"1201";"Landed";1;56327031;8355036;60;0.881;0.636;-4.629;0.287;0.00606;0.111;163.949;152195;0.715
"1202";"When To Say When";1;56327031;8304928;60;0.41;0.82;-6.808;0.533;0.252;0.538;170.718;223124;0.526
"1203";"Deep Pockets";1;56327031;8285754;58;0.473;0.824;-3.68;0.163;0.482;0.605;77.888;222929;0.374
"1204";"War";1;56327031;7821869;64;0.749;0.792;-4.151;0.0826;0.292;0.109;144.064;180000;0.239
"1205";"From Florida With Love";1;56327031;7216610;64;0.787;0.477;-7.837;0.199;0.768;0.104;80.506;234783;0.476
"1206";"Losses";1;56327031;6894756;57;0.551;0.57;-7.385;0.351;0.28;0.424;85.687;271184;0.505
"1207";"Turks (feat. Travis Scott)";6;2613211;5594561;70;0.893;0.618;-4.425;0.112;0.0827;0.542;119.099;161377;0.389
"1208";"Boyfriend";4;28931149;5236730;62;0.811;0.512;-6.381;0.17;0.218;0.0768;92.046;161188;0.346
"1209";"What If I Told You That I Love You";15;1758300;5234645;69;0.596;0.366;-11.144;0.115;0.63;0.0554;84.394;193668;0.229
"1210";"Emotions";2;1700759;4901960;65;0.788;0.491;-9.884;0.109;0.386;0.107;98.543;146028;0.271
"1211";"FIND MY WAY";5;7601122;4753495;66;0.836;0.624;-6.75;0.184;0.187;0.138;103;139890;0.7
"1212";"Keii";13;18306226;4687605;67;0.708;0.797;-3.095;0.0391;0.4;0.096;88.015;210000;0.51
"1213";"God's Plan";11;56327031;4565400;82;0.754;0.449;-9.211;0.109;0.0332;0.552;77.169;198973;0.357
"1214";"Por Primera Vez";4;10580764;4478685;70;0.716;0.588;-3.952;0.116;0.152;0.0847;165.896;183547;0.707
"1215";"@ MEH";3;1251372;4420187;1;0.877;0.492;-8.11;0.153;0.0136;0.0678;151.042;166799;0.4
"1216";"Broke In A Minute";5;3828418;4402281;75;0.929;0.7;-5.595;0.0906;0.144;0.349;120.009;132024;0.802
"1217";"Fantasias - Remix";8;6096559;4401019;70;0.816;0.72;-4.454;0.0684;0.206;0.277;94.004;267242;0.78
"1218";"SUGAR";18;1836564;4362442;75;0.453;0.538;-8.212;0.0638;0.449;0.19;122.973;204533;0.516
"1219";"90-60-111";1;559215;5750861;64;0.8;0.628;-6.615;0.285;0.103;0.391;143.979;141387;0.745
"1220";"YOSEMITE";1;17732077;5686981;75;0.785;0.554;-6.571;0.0409;0.283;0.116;128.047;150043;0.144
"1221";"Houdini (feat. Swarmz & Tion Wayne)";1;2010879;4914429;58;0.572;0.519;-8.054;0.243;0.000415;0.129;100.453;169355;0.704
"1222";"Sasuke";1;11821805;4701551;56;0.859;0.477;-6.116;0.428;0.00414;0.0819;145.979;251336;0.153
"1223";"Me Gusta";15;22136717;4440661;72;0.775;0.696;-5.184;0.0681;0.0559;0.157;92.007;190570;0.775
"1224";"If You’re Too Shy (Let Me Know) - Edit";1;5044278;4429092;59;0.651;0.806;-4.842;0.0311;0.00399;0.0927;125.641;239877;0.386
"1225";"Alone. Pt. II";18;29679430;4395061;77;0.67;0.668;-4.306;0.0422;0.536;0.133;88.033;179053;0.608
"1226";"Tutu";11;10580764;4393037;74;0.731;0.832;-2.592;0.0503;0.273;0.0665;146.013;178613;0.94
"1227";"Hate Me (with Juice WRLD)";17;9747805;4367368;76;0.657;0.768;-4.628;0.0507;0.108;0.144;75.025;186223;0.759
"1228";"Still Be Friends (feat. Tory Lanez & Tyga)";9;4894656;4299422;76;0.803;0.759;-4.692;0.0494;0.00509;0.0921;104;213308;0.284
"1229";"Blanco";18;29067437;4214147;66;0.87;0.706;-5.395;0.126;0.0253;0.0872;100.013;145800;0.593
"1230";"PICK UP (feat. Quavo)";1;7601122;7065060;65;0.915;0.612;-4.535;0.407;0.0944;0.115;129.93;118547;0.758
"1231";"JUMP (feat. YoungBoy Never Broke Again)";1;7601122;6033348;62;0.896;0.72;-6.262;0.355;0.169;0.252;140.1;212093;0.966
"1232";"LIGHTSKIN SH*T (feat. Future & jetsonmade)";1;7601122;4861875;56;0.932;0.578;-4.478;0.366;0.115;0.115;129.991;111173;0.623
"1233";"That Way - Bonus Track";7;11821805;4825741;67;0.712;0.598;-5.368;0.0388;0.0546;0.154;130.007;212354;0.504
"1234";"No Me Ame";1;1397067;4822090;64;0.68;0.766;-4.799;0.0923;0.0411;0.116;160.095;180000;0.28
"1235";"I'll Wait";3;7593792;4674532;70;0.611;0.651;-6.973;0.0589;0.144;0.105;122.983;215361;0.351
"1236";"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)";6;7358720;4618744;69;0.836;0.617;-4.363;0.0534;0.17;0.319;138.066;206702;0.866
"1237";"BLAME IT ON BABY";1;7601122;4616034;57;0.875;0.687;-5.734;0.387;0.236;0.141;109.791;125907;0.864
"1238";"Follow";3;17792779;4593449;63;0.735;0.787;-4.375;0.16;0.667;0.0721;168.997;203093;0.455
"1239";"3 Nights";13;554042;4411998;77;0.815;0.518;-6.594;0.0897;0.223;0.104;151.891;177667;0.877
"1240";"The Take (feat. Chris Brown)";5;3828418;4394195;73;0.464;0.547;-8.137;0.339;0.0511;0.155;67.003;221492;0.423
"1241";"Stupid Again";1;3828418;5938996;66;0.775;0.823;-4.941;0.0635;0.0881;0.309;120.059;174848;0.65
"1242";"Shotz Fired";1;1683006;5291167;59;0.839;0.594;-9.087;0.139;0.249;0.165;76.007;179844;0.58
"1243";"BaeBae";1;1045091;5290730;57;0.628;0.712;-4.864;0.156;0.282;0.156;86.627;167827;0.45
"1244";"To Die For";9;17097317;4527835;70;0.483;0.361;-7.889;0.0738;0.832;0.098;171.649;193795;0.307
"1245";"WANNABE";5;2384076;4383521;75;0.809;0.911;-4.41;0.0617;0.00795;0.181;122.035;191242;0.64
"1246";"Takeaway";13;18195884;4359727;77;0.528;0.511;-8.144;0.0324;0.126;0.101;100.1;209880;0.351
"1247";"Heart On Ice";2;2203386;4324610;70;0.733;0.389;-8.468;0.0738;0.0513;0.141;157.878;159670;0.244
"1248";"La Cama - Remix";2;4963516;4261965;69;0.737;0.832;-2.622;0.0798;0.12;0.255;173.986;330240;0.865
"1249";"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)";9;4849204;4244510;41;0.922;0.813;-3.268;0.251;0.0198;0.0539;141.087;165726;0.724
"1250";"Cradles";3;908351;4218201;73;0.534;0.589;-1.865;0.325;0.256;0.176;78.616;209829;0.632
"1251";"Good as Hell (feat. Ariana Grande)";8;3991674;4176083;71;0.668;0.892;-3.001;0.0645;0.298;0.735;95.927;159011;0.478
"1252";"Forever (feat. Post Malone & Clever)";8;48544923;6517807;68;0.825;0.483;-5.746;0.08;0.538;0.204;139.98;219933;0.892
"1253";"I Love Me";5;20338833;5449099;67;0.664;0.561;-7.031;0.0495;0.00261;0.0764;150.093;203672;0.713
"1254";"Old Me";4;7744095;4724056;67;0.722;0.62;-3.639;0.0483;0.313;0.26;127.978;186786;0.474
"1255";"Pero Ya No";6;36177712;4666658;72;0.882;0.612;-6.103;0.118;0.0475;0.182;147.982;160638;0.742
"1256";"Hardest To Love";3;35340069;4553544;67;0.467;0.608;-7.847;0.0707;0.0909;0.125;80.957;211400;0.108
"1257";"BRABA";2;1251372;4452819;0;0.812;0.689;-5.113;0.0619;0.181;0.0784;144.011;129782;0.663
"1258";"Woah";14;7816213;4425610;69;0.882;0.602;-5.554;0.245;0.0177;0.178;142.959;183011;0.43
"1259";"Pretty Please";2;27167675;4305034;67;0.906;0.474;-6.124;0.194;0.0311;0.286;106.976;194607;0.656
"1260";"I.F.L.Y.";10;4421378;4284951;76;0.812;0.519;-4.823;0.0385;0.379;0.13;104.954;165714;0.554
"1261";"Cool";1;27167675;8136247;65;0.469;0.785;-4.015;0.0664;0.133;0.0931;89.719;209583;0.79
"1262";"Future Nostalgia";1;27167675;8091754;65;0.875;0.813;-4.502;0.0579;0.00618;0.321;114.993;184882;0.859
"1263";"Good In Bed";1;27167675;6802068;64;0.68;0.701;-5.001;0.0917;0.138;0.168;94.06;218754;0.649
"1264";"Scared To Live";2;35340069;6566099;66;0.504;0.498;-8.24;0.0499;0.131;0.0929;87.221;191307;0.196
"1265";"Alone Again";2;35340069;6055294;66;0.218;0.652;-7.953;0.0641;0.033;0.172;65.375;250053;0.0599
"1266";"Boys Will Be Boys";1;27167675;6015914;63;0.768;0.486;-5.954;0.0353;0.408;0.098;125.021;166266;0.519
"1267";"Auto Blu";1;561372;5995116;56;0.82;0.783;-6.146;0.0621;0.0158;0.0938;130.015;166087;0.653
"1268";"Du bist mein";1;900975;5878493;54;0.761;0.556;-6.943;0.364;0.138;0.0976;187.81;160357;0.521
"1269";"Too Late";2;35340069;5867746;67;0.638;0.863;-5.221;0.132;0.052;0.685;120.077;239973;0.226
"1270";"Wildflower";1;7744095;5791343;65;0.644;0.768;-4.316;0.0455;0.174;0.469;108.992;220536;0.598
"1271";"Faith";2;35340069;5730081;67;0.375;0.605;-7.268;0.0729;0.612;0.147;175.946;283227;0.128
"1272";"Snowchild";2;35340069;5423997;66;0.55;0.611;-7.475;0.137;0.162;0.121;148.062;247187;0.243
"1273";"Escape From LA";2;35340069;5307288;67;0.404;0.524;-8.996;0.0593;0.0456;0.199;145.74;355960;0.168
"1274";"Allein sein";1;1700759;5119993;54;0.774;0.588;-8.529;0.225;0.0386;0.258;75.978;147353;0.392
"1275";"Bichiyal";5;36177712;4946613;75;0.737;0.766;-4.242;0.0458;0.31;0.114;93.956;196500;0.662
"1276";"Medusa";8;2435159;4901559;70;0.886;0.604;-7.293;0.208;0.194;0.107;98.023;305333;0.383
"1277";"Break Up Song";1;9398941;4593343;65;0.631;0.75;-5.416;0.0394;0.00388;0.286;90.019;200293;0.593
"1278";"Teeth";1;7744095;4571612;78;0.749;0.461;-2.961;0.0416;0.0516;0.0738;139.02;204887;0.42
"1279";"Repeat After Me (Interlude)";1;35340069;10058303;63;0.555;0.619;-7.918;0.0314;0.0323;0.0917;95.032;195813;0.141
"1280";"Until I Bleed Out";1;35340069;9132077;63;0.245;0.394;-9.887;0.0374;0.423;0.093;115.233;190173;0.148
"1281";"Rosa";1;29067437;7564893;64;0.651;0.561;-5.715;0.25;0.25;0.435;175.992;189827;0.369
"1282";"Gris";1;29067437;7514854;65;0.849;0.709;-4.717;0.0794;0.229;0.329;93.06;176627;0.916
"1283";"Negro";1;29067437;6651425;67;0.795;0.911;-2.228;0.0875;0.0157;0.131;164.081;182093;0.8
"1284";"Verde";1;29067437;5745393;63;0.828;0.738;-4.295;0.0516;0.0381;0.0917;94.995;142547;0.818
"1285";"Baby Pluto";3;11821805;5600261;69;0.772;0.634;-6.101;0.212;0.135;0.432;160.052;210261;0.671
"1286";"Lo Mein";3;11821805;5231134;67;0.855;0.676;-5.736;0.325;0.0888;0.144;133.082;195299;0.509
"1287";"No Judgement";7;7564659;5082563;65;0.723;0.726;-3.835;0.0472;0.0564;0.057;100.051;176283;0.962
"1288";"Futsal Shuffle 2020 - Bonus Track";3;11821805;5068849;63;0.879;0.448;-8.57;0.222;0.0346;0.224;136.985;198913;0.278
"1289";"Arcoíris";1;29067437;5044774;62;0.731;0.787;-5.26;0.0721;0.0853;0.316;92.971;186693;0.393
"1290";"TOES (feat. Lil Baby & Moneybagg Yo)";12;7601122;4878903;73;0.816;0.582;-4.141;0.341;0.0794;0.0916;160.004;136366;0.542
"1291";"Feel Me";5;28931149;4765672;63;0.71;0.808;-6.703;0.0433;0.44;0.0734;99.989;226003;0.392
"1292";"H <3 T E L";1;861082;4701388;34;0.726;0.646;-6.9;0.0977;0.0495;0.112;134.999;163253;0.58
"1293";"25/8";4;36177712;4684378;71;0.761;0.732;-5.469;0.0549;0.092;0.0716;151.982;243276;0.542
"1294";"Se Me Olvidó";3;8123757;4591194;71;0.65;0.558;-3.082;0.0309;0.368;0.303;141.82;159533;0.725
"1295";"B.S. (feat. H.E.R.)";3;4720858;4557817;72;0.617;0.525;-10.426;0.12;0.554;0.135;135.781;212867;0.377
"1296";"Soliá";4;36177712;4516243;72;0.71;0.81;-5.507;0.0854;0.117;0.154;92.041;159282;0.184
"1297";"Está Cabrón Ser Yo";4;36177712;4438261;69;0.81;0.854;-3.999;0.254;0.0732;0.123;154.083;227939;0.879
"1298";"Bean (Kobe) [feat. Chief Keef]";1;11821805;9039518;67;0.733;0.567;-6.718;0.319;0.0129;0.382;75.491;238816;0.319
"1299";"Yessirskiii";1;11821805;8374259;70;0.895;0.739;-6.633;0.283;0.0183;0.102;140.007;219340;0.763
"1300";"Cardigan";1;1606884;6586204;70;0.747;0.497;-6.542;0.0401;0.248;0.138;142.046;158709;0.0663
"1301";"Silly Watch";2;11821805;6442451;65;0.903;0.535;-6.238;0.286;0.0298;0.0851;130.117;195692;0.157
"1302";"Hablamos Mañana";3;36177712;6105711;69;0.683;0.677;-4.496;0.0469;0.0869;0.0998;156.019;240253;0.514
"1303";"Lotus";1;11821805;6017103;58;0.802;0.748;-5.708;0.207;0.24;0.165;150.063;193861;0.516
"1304";"Lettre à une femme";2;4764552;5895243;54;0.487;0.398;-9.901;0.0697;0.835;0.12;149.367;157766;0.905
"1305";"Que Malo";3;36177712;5544180;69;0.802;0.787;-6.181;0.0599;0.0832;0.153;94.026;167975;0.446
"1306";"Leaders (feat. NAV)";1;11821805;5496780;60;0.95;0.654;-5.895;0.307;0.0744;0.138;132.936;194844;0.886
"1307";"Strawberry Peels (feat. Young Thug & Gunna)";1;11821805;5468083;59;0.862;0.65;-6.978;0.355;0.0207;0.568;131.194;115350;0.658
"1308";"La Zona";3;36177712;5440382;69;0.762;0.801;-3.661;0.0409;0.2;0.254;93.992;136893;0.81
"1309";"Wassup (feat. Future)";1;11821805;5415044;57;0.762;0.622;-6.293;0.223;0.352;0.145;130.019;193314;0.626
"1310";"Una Vez";3;36177712;5411302;77;0.55;0.598;-5.402;0.0831;0.132;0.0955;83.836;232496;0.543
"1311";"Moon Relate";1;11821805;5324545;58;0.867;0.768;-3.73;0.0791;0.18;0.254;102.021;181826;0.34
"1312";"Black And White";1;7564659;5204120;75;0.443;0.582;-6.02;0.0482;0.0301;0.127;147.589;193090;0.239
"1313";"The Other Side (from Trolls World Tour)";3;5888533;5193927;68;0.76;0.607;-6.274;0.0964;0.00277;0.132;105.979;188187;0.709
"1314";"Whine Up";12;14831925;5130783;70;0.817;0.665;-6.224;0.0758;0.0549;0.103;104.957;215460;0.662
"1315";"Ayy Macarena";12;6298789;5046905;74;0.816;0.629;-5.568;0.226;0.133;0.0692;96.493;131607;0.714
"1316";"Trap This Way (This Way)";1;11821805;5043990;59;0.71;0.586;-5.331;0.381;0.248;0.193;175.987;185439;0.207
"1317";"Who (feat. BTS)";2;4442273;5004752;74;0.632;0.345;-8;0.0349;0.551;0.104;141.641;180413;0.0818
"1318";"Homecoming";2;11821805;4988839;63;0.929;0.563;-7.428;0.49;0.000592;0.244;129.957;213885;0.353
"1319";"Got The Guap (feat. Young Thug)";1;11821805;4946997;58;0.837;0.601;-5.628;0.198;0.21;0.0928;142.977;176756;0.749
"1320";"Prices";2;11821805;4898167;65;0.786;0.683;-5.397;0.205;0.173;0.706;126.002;233333;0.57
"1321";"I Can Show You";1;11821805;4831405;57;0.817;0.656;-7.086;0.277;0.051;0.115;139.915;120076;0.314
"1322";"I'm Sorry";2;11821805;4818039;60;0.858;0.547;-5.822;0.29;0.213;0.104;128.02;211883;0.303
"1323";"Black Swan";9;37151476;4802069;70;0.719;0.758;-5.167;0.0851;0.137;0.129;147.023;198261;0.49
"1324";"Bad Child";1;1251372;4787180;0;0.756;0.553;-4.24;0.0343;0.404;0.158;117.992;221467;0.597
"1325";"Adicto (with Anuel AA & Ozuna)";12;509411;4785720;75;0.734;0.836;-4.803;0.0735;0.017;0.179;80.002;270741;0.623
"1326";"<3";3;36177712;4755477;69;0.631;0.665;-7.589;0.229;0.602;0.152;80.353;157967;0.634
"1327";"Bad Girls. Good Vibes";1;1700759;4752181;53;0.826;0.368;-12.761;0.133;0.516;0.0914;127.977;107446;0.158
"1328";"Liberdade Provisória - Ao Vivo";5;13312073;4730891;58;0.668;0.684;-5.937;0.0527;0.627;0.923;108.138;187986;0.7
"1329";"POP";1;11821805;10484727;58;0.741;0.599;-6.672;0.419;0.00961;0.785;139.891;227474;0.276
"1330";"Celebration Station";1;11821805;10396969;61;0.748;0.771;-4.156;0.15;0.101;0.135;142.086;195058;0.792
"1331";"Bigger Than Life";1;11821805;9974143;62;0.776;0.752;-4.711;0.193;0.325;0.33;140.013;192705;0.716
"1332";"Venetia";1;11821805;9824605;63;0.775;0.757;-4.139;0.175;0.162;0.148;142.933;188800;0.562
"1333";"You Better Move";1;11821805;9533898;60;0.842;0.556;-6.793;0.442;0.159;0.204;118.836;196639;0.306
"1334";"Chrome Heart Tags";1;11821805;8219307;57;0.702;0.768;-4.055;0.0669;0.541;0.105;70.056;212821;0.574
"1335";"Bust Me";1;11821805;7828045;57;0.734;0.703;-6.256;0.355;0.237;0.413;151.923;194452;0.608
"1336";"René";2;878491;7240117;65;0.486;0.388;-9.326;0.126;0.435;0.196;90.471;457592;0.467
"1337";"Secure The Bag";1;11821805;7053947;57;0.803;0.719;-4.485;0.392;0.344;0.425;129.945;238425;0.549
"1338";"Urgency (feat. Syd)";1;11821805;6224412;53;0.619;0.784;-6.11;0.123;0.0326;0.315;156.035;181161;0.471
"1339";"ON (Feat. Sia)";3;37151476;6219276;64;0.591;0.848;-4.397;0.0828;0.137;0.372;105.922;246816;0.386
"1340";"P FKN R";2;36177712;6041127;66;0.82;0.635;-5.749;0.0772;0.409;0.244;101.024;258280;0.528
"1341";"Modern Loneliness";3;4442273;6020508;68;0.702;0.508;-7.105;0.035;0.144;0.108;82.008;252337;0.143
"1342";"Heatin Up (feat. Gunna)";2;7816213;6004839;66;0.788;0.436;-9.435;0.364;0.0611;0.0979;129.847;177314;0.341
"1343";"SKYBOX";1;3337982;5846484;59;0.779;0.707;-6.527;0.16;0.0991;0.0934;140.894;178097;0.343
"1344";"Young & Alive";1;4421378;5578323;71;0.716;0.563;-5.486;0.0425;0.326;0.119;86.005;160465;0.495
"1345";"i'm so tired...";2;4442273;5547770;77;0.599;0.733;-7.058;0.203;0.176;0.242;102.211;162583;0.534
"1346";"Numbers (feat. Roddy Ricch. Gunna and London On Da Track)";4;5865895;5487069;68;0.819;0.654;-6.665;0.136;0.517;0.0996;133.503;188563;0.455
"1347";"Girl";6;6161098;5434180;72;0.733;0.708;-4.957;0.0937;0.0325;0.324;93.021;186427;0.694
"1348";"Puesto Pa' Guerrial";2;36177712;5359969;64;0.867;0.686;-5.342;0.221;0.311;0.1;139.968;190207;0.658
"1349";"Definitivamente";5;23936368;5325447;66;0.813;0.764;-3.39;0.105;0.586;0.253;100.047;217773;0.429
"1350";"South of the Border (feat. Camila Cabello & Cardi B)";11;83337783;5315827;77;0.857;0.621;-6.376;0.0825;0.148;0.0865;97.989;204467;0.668
"1351";"I Fall Apart";1;33663701;5251918;80;0.556;0.538;-5.408;0.0382;0.0689;0.196;143.95;223347;0.291
"1352";"fuck. i'm lonely (with Anne-Marie)";1;4442273;5226991;74;0.806;0.558;-6.46;0.0683;0.482;0.0618;95.016;198973;0.678
"1353";"Aventura";11;4963516;5206102;68;0.729;0.726;-3.208;0.0422;0.223;0.101;92.025;217130;0.876
"1354";"Rare";9;28931149;5195842;68;0.838;0.545;-6.713;0.0706;0.208;0.103;114.998;220590;0.631
"1355";"VIBEZ";11;7601122;5121486;75;0.768;0.652;-2.708;0.307;0.113;0.107;154.187;144935;0.777
"1356";"Mean It";7;4442273;5110064;72;0.746;0.45;-8.543;0.0872;0.0407;0.172;95.998;232853;0.336
"1357";"That Way";1;11821805;12059592;67;0.719;0.611;-5.01;0.0403;0.0582;0.155;129.962;212354;0.489
"1358";"Live Off My Closet (feat. Future)";1;7816213;7410327;59;0.807;0.678;-3.244;0.177;0.0345;0.0986;147.004;173061;0.21
"1359";"Commercial (feat. Lil Uzi Vert)";1;7816213;6540577;67;0.892;0.486;-8.637;0.384;0.048;0.146;120.998;214215;0.535
"1360";"Sum 2 Prove";6;7816213;6497610;71;0.823;0.552;-7.57;0.324;0.0174;0.122;124.038;205760;0.418
"1361";"Filter";2;37151476;5913946;79;0.781;0.762;-5.188;0.0626;0.0222;0.121;110.042;180221;0.86
"1362";"Matrix";1;1674348;5724739;55;0.789;0.509;-8.766;0.291;0.768;0.272;114.957;183793;0.418
"1363";"Bellaquita - Remix";10;3600989;5676621;67;0.795;0.715;-3.582;0.0838;0.141;0.179;165.941;304733;0.758
"1364";"Infeliz";9;6671084;5490386;72;0.713;0.798;-3.147;0.219;0.366;0.246;176.073;221103;0.721
"1365";"Que Tire Pa Lante";10;23936368;5436773;72;0.658;0.901;-2.814;0.0357;0.0478;0.12;93.979;210520;0.708
"1366";"Futsal Shuffle 2020";10;11821805;5386512;67;0.881;0.457;-8.191;0.156;0.0327;0.231;136.97;198913;0.296
"1367";"GOODMORNINGTOKYO!";8;313480;5286044;74;0.907;0.539;-7.782;0.36;0.0408;0.253;124.918;150115;0.664
