"id";"music";"countplay";"followers";"streams";"popularity";"dance";"energy";"loudness";"speechiness";"acousticness";"liveness";"time";"durationms";"valence"
"992";"ocean eyes";22;1251372;4476954;1;0.358;0.372;-7.664;0.0464;0.81;0.0877;144.833;200387;0.16
"993";"Lion King On Ice";1;14103694;8293983;64;0.732;0.663;-7.616;0.192;0.0819;0.115;139.964;210587;0.227
"994";"Andere Welt";1;4093115;5600868;60;0.692;0.764;-5.233;0.113;0.574;0.106;84.029;189686;0.564
"995";"TELL ME WHY";1;2238190;5056986;71;0.6;0.723;-4.928;0.158;0.109;0.167;149.881;195268;0.463
"996";"Stay High";3;19102888;5047752;75;0.745;0.5;-6.184;0.135;0.439;0.0943;76.968;168685;0.433
"997";"What Makes You Beautiful";2;22536304;4966428;82;0.726;0.787;-2.494;0.0737;0.009;0.0596;124.99;199987;0.888
"998";"Shit Changed";1;1700759;4823401;52;0.824;0.528;-9.236;0.175;0.144;0.104;157.005;183839;0.32
"999";"Tell Me U Luv Me (with Trippie Redd)";6;19102888;4798078;72;0.66;0.76;-5.726;0.0787;0.291;0.632;127.984;180129;0.394
"1000";"Bad Energy";3;19102888;4761155;72;0.654;0.452;-6.36;0.0439;0.17;0.114;138.034;186749;0.532
"1001";"Titanic";3;19102888;4687464;71;0.567;0.545;-6.668;0.0448;0.168;0.112;174.146;176650;0.234
"1002";"Skechers";20;92356;4669248;73;0.903;0.327;-9.727;0.0877;0.26;0.108;100.008;106000;0.274
"1003";"The Bigger Picture";7;7816213;4629083;70;0.59;0.618;-5.756;0.334;0.0127;0.244;96.459;252729;0.153
"1004";"Story of My Life";1;22536304;4628772;81;0.6;0.663;-5.802;0.0477;0.225;0.119;121.07;245493;0.286
"1005";"Hit My Line";1;5449291;4621205;60;0.62;0.786;-5.22;0.167;0.143;0.46;164.057;265191;0.679
"1006";"Party Girl (Remix)";2;150587;15129295;62;0.752;0.375;-10.157;0.204;0.533;0.175;129.995;147673;0.591
"1007";"Up Up And Away";2;19102888;6229316;72;0.661;0.665;-6.356;0.053;0.538;0.0981;75.059;147548;0.486
"1008";"Man Of The Year";2;19102888;6223001;73;0.621;0.695;-5.124;0.0911;0.00584;0.086;173.966;136408;0.298
"1009";"Fighting Demons";2;19102888;5946573;70;0.707;0.67;-6.328;0.257;0.0813;0.098;163.099;200629;0.235
"1010";"Can't Die";2;19102888;5777859;71;0.652;0.671;-5.89;0.0756;0.0222;0.107;84.008;182922;0.274
"1011";"Screw Juice";2;19102888;5394197;69;0.595;0.528;-7.371;0.0935;0.082;0.142;150.075;179464;0.515
"1012";"Past Life (with Selena Gomez)";4;632097;5228433;47;0.575;0.543;-5.062;0.0529;0.102;0.176;159.905;186480;0.283
"1013";"I Want It";2;19102888;5137482;69;0.288;0.638;-6.935;0.0779;0.133;0.14;66.424;173114;0.147
"1014";"Ransom";30;4022792;5097394;80;0.745;0.642;-6.257;0.287;0.0204;0.0658;179.974;131240;0.226
"1015";"Diosa";23;6161098;4868180;74;0.801;0.745;-3.733;0.063;0.398;0.153;104.965;214013;0.245
"1016";"Never Know (feat. SHIRIN DAVID)";1;942380;4803071;60;0.874;0.542;-7.064;0.344;0.0621;0.181;142.016;196933;0.481
"1017";"La Difícil";21;36177712;4727554;78;0.685;0.848;-4.561;0.0858;0.0861;0.0783;179.87;163084;0.761
"1018";"TROLLZ (with Nicki Minaj)";6;6514102;4700152;65;0.744;0.422;-8.946;0.294;0.0319;0.11;180.006;202667;0.493
"1019";"Old Town Road - Remix";30;5488666;4643817;81;0.878;0.619;-5.56;0.102;0.0533;0.113;136.041;157067;0.639
"1020";"The Adventures of Moon Man & Slim Shady (with Eminem)";2;5002317;4639929;67;0.88;0.787;-5.189;0.118;0.226;0.12;113.018;264834;0.588
"1021";"China";30;18306226;4627026;77;0.786;0.808;-3.702;0.0882;0.0846;0.0822;105.027;301714;0.609
"1022";"Hola - Remix";30;3600989;4617726;77;0.654;0.672;-5.98;0.311;0.471;0.0781;181.857;249520;0.343
"1023";"Ignorantes";23;36177712;4613982;74;0.85;0.536;-5.161;0.0599;0.267;0.0996;96.029;210607;0.505
"1024";"Yummy";29;48544923;4599349;72;0.687;0.514;-6.612;0.0897;0.366;0.116;145.921;210427;0.494
"1025";"High Fashion (feat. Mustard)";28;6608815;4592772;77;0.831;0.499;-8.442;0.114;0.269;0.3;97.956;220487;0.511
"1026";"Like That (feat. Gucci Mane)";19;8671649;4565377;77;0.879;0.498;-6.027;0.18;0.239;0.0967;106.044;163173;0.405
"1027";"Goodbyes (feat. Young Thug)";7;33663701;4527742;78;0.548;0.653;-3.875;0.081;0.456;0.103;150.068;174853;0.163
"1028";"BOP";30;7601122;4496450;80;0.769;0.787;-3.909;0.367;0.189;0.129;126.77;159715;0.836
"1029";"Sigues Con El";30;231580;4485060;75;0.883;0.668;-2.957;0.113;0.11;0.0734;87.972;226533;0.676
"1030";"Anxiety - Intro";1;19102888;8449557;60;0.307;0.528;-11.337;0.108;0.972;0.222;174.795;70395;0.58
"1031";"Juice WRLD Speaks From Heaven - Outro";1;19102888;6682917;59;0.392;0.373;-14.097;0.0968;0.991;0.545;121.678;30583;0.519
"1032";"The Man. The Myth. The Legend - Interlude";1;19102888;6640728;58;0.667;0.447;-14.625;0.761;0.916;0.612;83.534;136545;0.829
"1033";"Tiefschwarz (feat. Samra)";1;1818624;5867111;62;0.751;0.783;-5.926;0.22;0.0715;0.114;94.003;189739;0.379
"1034";"Wash Us In The Blood";3;14624703;5586085;64;0.67;0.847;-4.85;0.409;0.184;0.304;137.22;189827;0.381
"1035";"Gangstas";2;6852509;5104422;71;0.548;0.506;-7.434;0.102;0.203;0.0788;119.987;160000;0.557
"1036";"Monster";1;383695;5030481;70;0.631;0.748;-2.569;0.0488;0.212;0.537;115.665;178413;0.351
"1037";"YAYA";2;6514102;4729070;60;0.672;0.733;-5.377;0.0566;0.00289;0.199;105.043;149857;0.354
"1038";"Narcos";2;18306226;4633313;68;0.614;0.746;-3.527;0.196;0.347;0.0874;168.072;259250;0.601
"1039";"This City";13;122883;4597406;80;0.605;0.377;-6.213;0.0443;0.733;0.0808;73.877;194853;0.519
"1040";"Make It Rain (feat. Rowdy Rebel)";2;6852509;4594248;62;0.5;0.767;-4.105;0.403;0.162;0.385;159.477;202443;0.58
"1041";"Lalala";29;268766;4541965;77;0.843;0.39;-7.899;0.0846;0.178;0.137;129.972;160627;0.495
"1042";"Something Special";2;6852509;4535580;72;0.739;0.616;-6.963;0.0338;0.252;0.101;91.071;158466;0.654
"1043";"Aim For The Moon (feat. Quavo)";1;6852509;9011502;67;0.713;0.605;-7.487;0.107;0.497;0.115;142.025;175756;0.432
"1044";"44 BullDog";1;6852509;8443771;66;0.8;0.564;-5.817;0.4;0.0287;0.112;139.989;150857;0.318
"1045";"Creature (feat. Swae Lee)";1;6852509;7308690;66;0.794;0.717;-5.73;0.251;0.0511;0.195;141.881;202816;0.372
"1046";"Yea Yea";1;6852509;7112419;63;0.717;0.474;-8.383;0.403;0.0509;0.139;123.906;185804;0.448
"1047";"Enjoy Yourself (feat. Karol G)";1;6852509;6620040;70;0.764;0.676;-6.761;0.0927;0.389;0.215;97.02;197938;0.461
"1048";"Bad Bitch From Tokyo (Intro)";1;6852509;6144736;59;0.645;0.64;-6.871;0.179;0.395;0.286;140.248;48000;0.674
"1049";"Snitching (feat. Quavo & Future)";1;6852509;6102253;59;0.944;0.579;-4.961;0.191;0.0381;0.253;135.033;259346;0.769
"1050";"West Coast Shit (feat. Tyga & Quavo)";1;6852509;5931242;61;0.831;0.762;-5.656;0.207;0.0885;0.107;99.999;192000;0.495
"1051";"Deep End Freestyle";8;411262;5280810;72;0.868;0.479;-6.687;0.445;0.703;0.102;133.928;115200;0.776
"1052";"Tommy Lee (feat. Post Malone)";4;359133;5031845;73;0.457;0.621;-5.923;0.138;0.218;0.0944;85.359;224638;0.634
"1053";"Tunnel Vision (Outro)";1;6852509;4907751;60;0.718;0.66;-7.39;0.325;0.363;0.159;142.879;132587;0.659
"1054";"Si Veo a Tu Mamá";19;36177712;4638728;80;0.9;0.603;-5.313;0.0646;0.402;0.134;129.928;170972;0.824
"1055";"Prospect (ft. Lil Baby)";2;1276292;4571916;68;0.816;0.579;-6.097;0.0867;0.203;0.127;120.078;226314;0.43
"1056";"No Me Conoce - Remix";28;2435159;4501188;77;0.806;0.786;-3.831;0.0741;0.145;0.0935;91.973;309120;0.58
"1057";"El Manual";1;18306226;4470597;67;0.843;0.845;-2.344;0.0503;0.35;0.0527;126.989;210624;0.898
"1058";"Thunder";8;35299488;4468668;83;0.605;0.822;-4.833;0.0438;0.00671;0.147;167.997;187147;0.288
"1059";"El Efecto - Remix";9;6096559;4433384;73;0.771;0.769;-3.504;0.0694;0.18;0.345;167.969;289899;0.931
"1060";"Better Now";27;33663701;4431571;81;0.68;0.578;-5.804;0.04;0.331;0.135;145.038;231267;0.341
"1061";"Don't Stop Believin'";2;3731820;4394985;81;0.5;0.748;-9.072;0.0363;0.127;0.447;118.852;250987;0.514
"1062";"BLACK PARADE";2;28335112;5474807;61;0.824;0.555;-5.817;0.05;0.00337;0.217;120.002;281273;0.0611
"1063";"XXL";1;30683;5415994;64;0.798;0.527;-7.671;0.0447;0.227;0.108;114.008;166173;0.548
"1064";"Salt";14;1251372;4874960;1;0.693;0.835;-3.242;0.0624;0.131;0.073;128.052;180283;0.744
"1065";"Daisies";7;18936929;4838067;68;0.639;0.546;-5.382;0.0407;0.0837;0.122;122.179;173124;0.149
"1066";"Emotionally Scarred";3;7816213;4633237;71;0.585;0.641;-4.269;0.133;0.0286;0.316;88.284;197530;0.266
"1067";"Myron";16;11821805;4593309;76;0.771;0.654;-6.976;0.298;0.055;0.214;155.047;224955;0.573
"1068";"MORE & MORE";5;9998991;4592745;70;0.739;0.841;-4.162;0.06;0.0312;0.173;106.99;199653;0.562
"1069";"Girls in the Hood";1;4794212;4577209;72;0.821;0.863;-3.159;0.353;0.00824;0.0377;180.013;154324;0.874
"1070";"Parasite Eve";1;3912138;4545883;67;0.589;0.797;-5.464;0.15;0.0289;0.383;102.489;291813;0.232
"1071";"Sucker";27;5436999;4543863;81;0.842;0.734;-5.065;0.0588;0.0427;0.106;137.958;181027;0.952
"1072";"I Like Me Better";27;4442273;4430642;82;0.752;0.505;-7.621;0.253;0.535;0.104;91.97;197437;0.419
"1073";"High Hopes";21;10850424;4426791;81;0.579;0.904;-2.729;0.0618;0.193;0.064;82.014;190947;0.681
